kind,index,T_opt_range,CT_max_range,plateau_lo,plateau_hi,mu_max_ratio,asymmetry
prior_draw,74,5.3577575421332035,7.71945074424702,0.0,0.0,13.178608302502942,0.6940594246457384
prior_draw,80,5.355769231693593,1.8481216557120206e-11,5.5,6.5,16.268972006338828,289795274847.8666
prior_draw,76,2.0183552807784437,3.8401216141879786,0.0,0.0,11.354343849652887,0.5255967085316489
prior_draw,84,16.338917764782806,1.4983534616603293,0.0,7.5,12.238679245399057,10.904581717772794
prior_draw,81,2.1188300213815197,10.027539516741882,0.0,0.5,2.2601439279963236,0.21130108914992973
prior_draw,83,9.602031543493055,7.104387297614686,0.0,2.0,17.846207463872467,1.351563638248855
prior_draw,89,4.375000000924459,1.8481216557120206e-11,3.5,7.0,16.268951792678468,236726840324.74664
prior_draw,86,12.05879463539727,15.666911051536974,0.0,0.0,338175.56060774776,0.7696982893264249
prior_draw,87,14.027524256562195,7.98367463134354,1.0,3.5,6.090349242152277,1.7570260443093184
prior_draw,101,4.839824461665913,8.005140880165499,0.0,0.5,16.97128784126184,0.6045895424098837
prior_draw,102,21.939450190764724,1.3824545492293083,0.0,22.5,,15.86992512918095
prior_draw,107,0.3652334673525317,5.912746623116931,0.0,0.5,1.1902450888342706,0.06177052571889124
prior_draw,112,4.704376821714881,0.036832657962875714,0.5,5.5,1.1956173956472629,127.72297960295195
prior_draw,118,3.918996724335237,4.400372167019796,0.0,0.5,5.729543237471946,0.8906057432386278
prior_draw,124,6.0030958415956945,10.307440619798527,0.0,5.5,7.240124781817187,0.582404115922332
prior_draw,126,4.523690751002118,3.4663297628754037,0.5,1.0,2.0998132910691742,1.3050376220552102
