i,j,t,logl
3,4,0.675,-12.426087966073872
3,4,0.7000000000000001,-12.254897558455944
3,4,0.7250000000000001,-12.828794508715633
3,4,0.75,-9.096147419739479
3,4,0.775,-8.984335139460093
3,4,0.8,-8.972707266861416
3,4,0.8250000000000001,-8.585965948631745
3,4,0.8500000000000001,-8.558421355473945
3,4,0.875,-8.55358407550074
3,4,0.9,-8.565955590657177
3,4,0.925,-8.598274131606665
3,4,0.9500000000000001,-8.652047017352963
3,4,0.9750000000000001,-8.727691025198496
3,4,1.0,-8.796950671603188
3,5,0.0,-8.641046913219562
3,5,0.025,-8.593143498536394
3,5,0.05,-8.658733398038118
3,5,0.07500000000000001,-8.905449615497972
3,5,0.1,-9.090221342682149
3,5,0.125,-9.274545915049462
3,5,0.15000000000000002,-9.465483738925755
3,5,0.17500000000000002,-9.657841599005618
3,5,0.2,-9.847025875113026
3,5,0.225,-9.964498325907432
3,5,0.25,-9.931708100936138
3,5,0.275,-9.901825565889613
3,5,0.30000000000000004,-9.874465667232844
3,5,0.325,-9.848872564681965
3,5,0.35000000000000003,-9.825287451697385
3,5,0.375,-9.798626912801998
3,5,0.4,-9.767573778844767
3,5,0.42500000000000004,-9.728373336870053
3,5,0.45,-9.681037925740494
3,5,0.47500000000000003,-9.633860643514252
3,5,0.5,-9.587337714241295
3,5,0.525,-9.544687259814047
3,5,0.55,-9.4939187351772
3,5,0.5750000000000001,-9.456814525787845
3,5,0.6000000000000001,-9.425431571665651
3,5,0.625,-9.39956603200958
3,5,0.65,-9.374636847540518
3,5,0.675,-9.357346516603315
3,5,0.7000000000000001,-9.29919713709697
