a,b,t,logl
A(b20),p38(b22),0.875,-7.19586654344489
A(b20),p38(b22),0.9,-7.196657506530814
A(b20),p38(b22),0.925,-7.197618517126278
A(b20),p38(b22),0.9500000000000001,-7.198680659197699
A(b20),p38(b22),0.9750000000000001,-7.199933408055273
A(b20),p38(b22),1.0,-7.185975143937034
A(b20),"big(b10,n=64)",0.0,-7.213070075568569
A(b20),"big(b10,n=64)",0.025,-7.579854173665574
A(b20),"big(b10,n=64)",0.05,-8.01433208641117
A(b20),"big(b10,n=64)",0.07500000000000001,-8.470476444497933
A(b20),"big(b10,n=64)",0.1,-8.953485779508918
A(b20),"big(b10,n=64)",0.125,-9.294273157873167
A(b20),"big(b10,n=64)",0.15000000000000002,-9.494998367647984
A(b20),"big(b10,n=64)",0.17500000000000002,-9.748173519944
A(b20),"big(b10,n=64)",0.2,-10.038136717952248
A(b20),"big(b10,n=64)",0.225,-10.338074855629895
A(b20),"big(b10,n=64)",0.25,-10.659191002020403
A(b20),"big(b10,n=64)",0.275,-11.001148585538079
A(b20),"big(b10,n=64)",0.30000000000000004,-11.323026206057524
A(b20),"big(b10,n=64)",0.325,-11.6620692373956
A(b20),"big(b10,n=64)",0.35000000000000003,-11.918674334412048
A(b20),"big(b10,n=64)",0.375,-12.137131612860799
A(b20),"big(b10,n=64)",0.4,-12.349183291403062
A(b20),"big(b10,n=64)",0.42500000000000004,-12.570790423219716
A(b20),"big(b10,n=64)",0.45,-12.776113517225106
A(b20),"big(b10,n=64)",0.47500000000000003,-12.979611988190488
A(b20),"big(b10,n=64)",0.5,-13.162478919872775
A(b20),"big(b10,n=64)",0.525,-13.365586463858293
A(b20),"big(b10,n=64)",0.55,-13.475476475970622
A(b20),"big(b10,n=64)",0.5750000000000001,-13.585546384991781
A(b20),"big(b10,n=64)",0.6000000000000001,-13.68928548926772
A(b20),"big(b10,n=64)",0.625,-13.740780448882097
A(b20),"big(b10,n=64)",0.65,-13.786510821433787
A(b20),"big(b10,n=64)",0.675,-13.780674902938797
A(b20),"big(b10,n=64)",0.7000000000000001,-13.710569389401014
A(b20),"big(b10,n=64)",0.7250000000000001,-13.571224729099374
A(b20),"big(b10,n=64)",0.75,-13.42859829142461
A(b20),"big(b10,n=64)",0.775,-13.26294541076676
A(b20),"big(b10,n=64)",0.8,-13.076989913629548
A(b20),"big(b10,n=64)",0.8250000000000001,-12.869432341680216
A(b20),"big(b10,n=64)",0.8500000000000001,-12.70027008652539
A(b20),"big(b10,n=64)",0.875,-12.51406707631438
A(b20),"big(b10,n=64)",0.9,-12.345181080195797
A(b20),"big(b10,n=64)",0.925,-12.193322387797664
A(b20),"big(b10,n=64)",0.9500000000000001,-12.07831578314915
A(b20),"big(b10,n=64)",0.9750000000000001,-12.009009088167211
A(b20),"big(b10,n=64)",1.0,-11.98646491383215
A(b20),p83(b21),0.0,-7.213070075428383
A(b20),p83(b21),0.025,-7.405235122127688
A(b20),p83(b21),0.05,-7.652713262177302
A(b20),p83(b21),0.07500000000000001,-7.841750367696785
A(b20),p83(b21),0.1,-8.02745981162117
A(b20),p83(b21),0.125,-8.210335195750336
A(b20),p83(b21),0.15000000000000002,-8.388085284203392
A(b20),p83(b21),0.17500000000000002,-8.514590218682644
A(b20),p83(b21),0.2,-8.485372334347463
A(b20),p83(b21),0.225,-8.460785047513161
A(b20),p83(b21),0.25,-8.445847590791676
A(b20),p83(b21),0.275,-8.43325368168669
A(b20),p83(b21),0.30000000000000004,-8.432326017606211
A(b20),p83(b21),0.325,-8.425818563125148
A(b20),p83(b21),0.35000000000000003,-8.431109963161404
A(b20),p83(b21),0.375,-8.428574232990993
A(b20),p83(b21),0.4,-8.428647496217696
A(b20),p83(b21),0.42500000000000004,-8.393037483043393
A(b20),p83(b21),0.45,-8.396723893831094
A(b20),p83(b21),0.47500000000000003,-8.40257500780648
A(b20),p83(b21),0.5,-8.409772099743133
A(b20),p83(b21),0.525,-8.417997391537874
A(b20),p83(b21),0.55,-8.427253586946005
A(b20),p83(b21),0.5750000000000001,-8.435877488065675
A(b20),p83(b21),0.6000000000000001,-8.439695626708488
A(b20),p83(b21),0.625,-8.430871256829231
A(b20),p83(b21),0.65,-8.435396646260415
A(b20),p83(b21),0.675,-8.440344529801132
A(b20),p83(b21),0.7000000000000001,-8.445467290446553
A(b20),p83(b21),0.7250000000000001,-8.440716930128874
A(b20),p83(b21),0.75,-8.431737678061047
A(b20),p83(b21),0.775,-8.431023925766976
A(b20),p83(b21),0.8,-8.437226918297766
A(b20),p83(b21),0.8250000000000001,-8.449458418043733
A(b20),p83(b21),0.8500000000000001,-8.453230110196007
A(b20),p83(b21),0.875,-8.480706570729119
A(b20),p83(b21),0.9,-8.471218273293545
A(b20),p83(b21),0.925,-8.478363986094632
A(b20),p83(b21),0.9500000000000001,-8.509652787924042
A(b20),p83(b21),0.9750000000000001,-8.522770879434379
A(b20),p83(b21),1.0,-8.432798857664698
"big(b9,n=3)",p50(b19),0.0,-12.359970906100909
"big(b9,n=3)",p50(b19),0.025,-12.572440193027607
"big(b9,n=3)",p50(b19),0.05,-13.187218110520943
"big(b9,n=3)",p50(b19),0.07500000000000001,-14.186987044385207
"big(b9,n=3)",p50(b19),0.1,-15.522385973486182
"big(b9,n=3)",p50(b19),0.125,-16.93921444030101
"big(b9,n=3)",p50(b19),0.15000000000000002,-18.426369894560473
"big(b9,n=3)",p50(b19),0.17500000000000002,-20.018092518409514
"big(b9,n=3)",p50(b19),0.2,-21.648408143224675
"big(b9,n=3)",p50(b19),0.225,-23.297941413247386
"big(b9,n=3)",p50(b19),0.25,-24.91222540116758
"big(b9,n=3)",p50(b19),0.275,-26.496548192812185
"big(b9,n=3)",p50(b19),0.30000000000000004,-28.01922936001737
"big(b9,n=3)",p50(b19),0.325,-29.45839840132075
"big(b9,n=3)",p50(b19),0.35000000000000003,-30.790411106606676
"big(b9,n=3)",p50(b19),0.375,-31.99758610721196
"big(b9,n=3)",p50(b19),0.4,-33.04209698045929
"big(b9,n=3)",p50(b19),0.42500000000000004,-33.93003887342528
"big(b9,n=3)",p50(b19),0.45,-34.67393940816053
"big(b9,n=3)",p50(b19),0.47500000000000003,-35.26956764867933
"big(b9,n=3)",p50(b19),0.5,-35.13043833559534
"big(b9,n=3)",p50(b19),0.525,-34.729703699767015
"big(b9,n=3)",p50(b19),0.55,-34.21181089477305
"big(b9,n=3)",p50(b19),0.5750000000000001,-33.66625376046965
"big(b9,n=3)",p50(b19),0.6000000000000001,-32.946658143378414
"big(b9,n=3)",p50(b19),0.625,-31.374190294125032
"big(b9,n=3)",p50(b19),0.65,-29.503196157826416
"big(b9,n=3)",p50(b19),0.675,-27.629279681986244
"big(b9,n=3)",p50(b19),0.7000000000000001,-25.74948957556144
"big(b9,n=3)",p50(b19),0.7250000000000001,-23.922279018343346
"big(b9,n=3)",p50(b19),0.75,-22.157770093936676
"big(b9,n=3)",p50(b19),0.775,-20.1061975356643
"big(b9,n=3)",p50(b19),0.8,-18.15744964133985
"big(b9,n=3)",p50(b19),0.8250000000000001,-16.344558018866394
"big(b9,n=3)",p50(b19),0.8500000000000001,-14.577213651460262
"big(b9,n=3)",p50(b19),0.875,-12.959853148434712
"big(b9,n=3)",p50(b19),0.9,-11.543225697411414
"big(b9,n=3)",p50(b19),0.925,-10.23583894292285
"big(b9,n=3)",p50(b19),0.9500000000000001,-9.176063800193822
