label,t1_n_structural_zero,expected,ll_old,ll_new,verdict,diff
red2_6800:228,12,NEG_INF,-18.765444654969528,-inf,OK,
red2_6800:229,12,NEG_INF,-18.690860403268616,-inf,OK,
red2_6800:230,12,NEG_INF,-18.751493899668247,-inf,OK,
red2_6800:231,12,NEG_INF,-18.737355471213945,-inf,OK,
red2_6800:232,12,NEG_INF,-18.77839300814755,-inf,OK,
red2_6800:233,12,NEG_INF,-18.702826140725136,-inf,OK,
red2_6800:234,12,NEG_INF,-18.702735880187483,-inf,OK,
red2_6800:235,12,NEG_INF,-18.724874282618135,-inf,OK,
red2_6800:236,12,NEG_INF,-18.7183317632852,-inf,OK,
red2_6800:237,12,NEG_INF,-18.68644643923329,-inf,OK,
red2_6800:238,12,NEG_INF,-18.724218703172323,-inf,OK,
red2_6800:239,12,NEG_INF,-18.714966916296845,-inf,OK,
red2_6800:240,12,NEG_INF,-18.68256197627867,-inf,OK,
red2_6800:241,12,NEG_INF,-18.71042627218061,-inf,OK,
red2_6800:242,12,NEG_INF,-18.722588651685953,-inf,OK,
red2_6800:243,12,NEG_INF,-18.74442363754282,-inf,OK,
red2_6800:244,12,NEG_INF,-18.68359711392112,-inf,OK,
red2_6800:245,12,NEG_INF,-18.698244821493436,-inf,OK,
red2_6800:246,12,NEG_INF,-18.71968433232329,-inf,OK,
red2_6800:247,12,NEG_INF,-18.709228502980196,-inf,OK,
red2_6800:248,12,NEG_INF,-18.700630303751065,-inf,OK,
red2_6800:249,12,NEG_INF,-18.693344441924527,-inf,OK,
red2_6800:250,12,NEG_INF,-18.682881350353753,-inf,OK,
red2_6800:251,12,NEG_INF,-18.718087230797902,-inf,OK,
red2_6800:252,12,NEG_INF,-18.68286921775164,-inf,OK,
red2_6800:253,12,NEG_INF,-18.743068520361064,-inf,OK,
red2_6800:254,12,NEG_INF,-18.68360301531761,-inf,OK,
red2_6800:255,12,NEG_INF,-18.71870191750281,-inf,OK,
red2_6800:256,12,NEG_INF,-18.7238763272518,-inf,OK,
red2_6800:257,12,NEG_INF,-18.73853044322276,-inf,OK,
red2_6800:258,12,NEG_INF,-18.71171806858359,-inf,OK,
red2_6800:259,12,NEG_INF,-18.706617090749017,-inf,OK,
red2_6800:260,12,NEG_INF,-18.725019283048812,-inf,OK,
red2_6800:261,12,NEG_INF,-18.74023076590679,-inf,OK,
red2_6800:262,12,NEG_INF,-18.691017279607415,-inf,OK,
red2_6800:263,12,NEG_INF,-18.754908449809427,-inf,OK,
red2_6800:264,12,NEG_INF,-18.72522915883848,-inf,OK,
red2_6800:265,12,NEG_INF,-18.741973024995012,-inf,OK,
red2_6800:266,12,NEG_INF,-18.709007495299783,-inf,OK,
red2_6800:267,12,NEG_INF,-18.6988318678496,-inf,OK,
red2_6800:268,12,NEG_INF,-18.68314436639537,-inf,OK,
red2_6800:269,12,NEG_INF,-18.715812887005768,-inf,OK,
red2_6800:270,12,NEG_INF,-18.69214616967497,-inf,OK,
red2_6800:271,12,NEG_INF,-18.700715247737488,-inf,OK,
red2_6800:272,12,NEG_INF,-18.682824627555775,-inf,OK,
red2_6800:273,12,NEG_INF,-18.690303933071327,-inf,OK,
red2_6800:274,12,NEG_INF,-18.683129107118624,-inf,OK,
red2_6800:275,12,NEG_INF,-18.71605931018284,-inf,OK,
red2_6800:276,12,NEG_INF,-18.73909492851944,-inf,OK,
red2_6800:277,12,NEG_INF,-18.69720713240466,-inf,OK,
red2_6800:278,1,NEG_INF,-17.55956461882058,-inf,OK,
red2_6800:279,1,NEG_INF,-17.308618367344124,-inf,OK,
red2_6800:280,12,NEG_INF,-18.71737218394802,-inf,OK,
red2_6800:281,12,NEG_INF,-18.68799663053238,-inf,OK,
red2_6800:282,12,NEG_INF,-18.683512213175757,-inf,OK,
red2_6800:283,12,NEG_INF,-18.70273252059346,-inf,OK,
red2_6800:284,12,NEG_INF,-18.692785518445632,-inf,OK,
red2_6800:285,12,NEG_INF,-18.69346814772941,-inf,OK,
red2_6800:286,12,NEG_INF,-18.70000006197263,-inf,OK,
red2_6800:287,12,NEG_INF,-18.776960721152015,-inf,OK,
red2_6800:288,12,NEG_INF,-18.6845151708613,-inf,OK,
red2_6800:289,12,NEG_INF,-18.69824081562606,-inf,OK,
red2_6800:290,12,NEG_INF,-18.69854929080848,-inf,OK,
red2_6800:291,12,NEG_INF,-18.735295450321455,-inf,OK,
red2_6800:292,12,NEG_INF,-18.70589490989905,-inf,OK,
red2_6800:293,12,NEG_INF,-18.753263880299652,-inf,OK,
red2_6800:294,12,NEG_INF,-18.725551184365724,-inf,OK,
red2_6800:295,12,NEG_INF,-18.70784064883949,-inf,OK,
red2_6800:296,12,NEG_INF,-18.723070801721057,-inf,OK,
red2_6800:297,12,NEG_INF,-18.6826909899794,-inf,OK,
red2_6800:298,12,NEG_INF,-18.776547794802415,-inf,OK,
red2_6800:299,12,NEG_INF,-18.71586164114865,-inf,OK,
