label,ll_production,ll_validation_1,ll_validation_2,ll_production_repeat,diag_1,diag_2,perturbation_identical,max_diff_same_instance,repeat_floor,inert_1e12,within_repeat_floor
prior17303:12,-inf,-inf,-inf,-inf,"[0.2723269396956241, 0.7496362718231965]","[0.3043092550829643, 0.7942391495721344]",True,0.0,0.0,True,True
prior17303:13,-298.5631152456826,-298.5631152456844,-298.56311524566416,-298.5631152456803,"[0.2843077467740846, 0.722677663344524]","[0.2868614839636083, 0.49339384007983583]",True,1.8417267710901797e-11,2.2737367544323206e-12,False,False
prior17303:14,-35.809471760113595,-35.80947176011421,-35.80947176013253,-35.80947176013686,"[0.284419632373982, 0.8613878011502981]","[0.33037210757772106, 0.9526330603213794]",True,1.893596390800667e-11,2.326316916878568e-11,False,True
prior17303:15,-404.412673147378,-404.41267315006075,-404.4125847761221,-404.4125849021453,"[0.2931008661188101, 0.6529174442649057]","[0.30642223454650036, 0.6255717886179661]",True,8.837125585614558e-05,8.824523268913254e-05,False,False
prior17303:16,-inf,-inf,-inf,-inf,"[0.290878954995608, 0.6405785344349773]","[0.23332381916501868, 0.9043344391318783]",True,0.0,0.0,True,True
prior17303:17,-56.975509189149996,-56.975509189149065,-56.975509189151886,-56.97550918915316,"[0.23894276905652984, 0.8352844771970144]","[0.25106164360232247, 0.9330139715387062]",True,1.8900436771218665e-12,3.161915174132446e-12,False,True
prior17303:18,-165.03888090695176,-165.0388809069907,-165.03888090696623,-165.0388809070431,"[0.2870524285434972, 0.4428057385951113]","[0.26885933283718433, 0.9352422392440375]",True,3.893774191965349e-11,9.134737410931848e-11,False,True
prior17303:19,-270.7909022693216,-270.7909022693226,-270.7909022693225,-270.7909022693222,"[0.3445645495644891, 0.8305641351771997]","[0.2542628114412636, 0.5773934475302489]",True,1.0231815394945443e-12,6.252776074688882e-13,False,False
prior17303:20,-inf,-inf,-inf,-inf,"[0.2575888887211892, 0.6326040939598847]","[0.2991779033183864, 0.7283287944303815]",True,0.0,0.0,True,True
prior17303:21,-34.148469980486084,-34.148469980441085,-34.14846998043661,-34.14846998045334,"[0.33149210607228236, 0.7407732134546662]","[0.3040345504603819, 0.9102415226378924]",True,4.9475090690975776e-11,3.2741809263825417e-11,False,False
prior17303:22,-45.574085725955825,-45.57408572592482,-45.574085725592,-45.57408572595094,"[0.24336431343892623, 0.33548774934824954]","[0.28988487550626074, 0.532034681587884]",True,3.638263024186017e-10,4.888534022029489e-12,False,False
prior17303:23,-212.52886516782377,-212.5288651677484,-212.52886516774947,-212.5288651677454,"[0.2777586117350865, 0.8986642789812783]","[0.27596625099038385, 0.7825119630049643]",True,7.537437340943143e-11,7.835865289962385e-11,False,True
prior17303:24,-144.1533751529296,-144.15337515296864,-144.15337515293453,-144.15337515294758,"[0.2658761813307596, 0.5157312536712761]","[0.2582041850810048, 0.709261250244436]",True,3.90230070479447e-11,1.7962520360015333e-11,False,False
prior17303:25,-49.82119424363522,-49.821194243635674,-49.821194243636356,-49.82119424363596,"[0.28165807578871677, 0.5436413199192377]","[0.28384549100345163, 0.6932291391404771]",True,1.1368683772161603e-12,7.389644451905042e-13,False,False
prior17303:26,-37.061119441735386,-37.061119441668566,-37.06111944173534,-37.06111944179523,"[0.3111959294928832, 0.9336980866082779]","[0.3168251261061811, 0.8349911725827802]",True,6.681943887087982e-11,5.984190920571564e-11,False,False
prior17303:27,-50.737948041384996,-50.73794802628887,-50.73794776969282,-50.73794795479327,"[0.22009082619697048, 0.5738602423740222]","[0.2931482169870255, 0.8789765578442996]",True,2.716921727596855e-07,8.659172578973084e-08,False,False
prior17303:28,-29.019261421951292,-29.01926142196288,-29.019261421939447,-29.019261421934054,"[0.22620821246923983, 0.5031430063286689]","[0.2864327602746075, 0.8329014532442005]",True,1.184474740512087e-11,1.723776676954003e-11,False,True
prior17303:29,-24.633478656456454,-24.633478656943137,-24.633478655963994,-24.63347865630447,"[0.27283617151215867, 0.46494972499380377]","[0.2766949073904575, 0.6442999208178296]",True,4.924594065869314e-10,1.5198509117908543e-10,False,False
prior17303:30,-48.27243662938437,-48.272436625193606,-48.27243662899498,-48.2724366270648,"[0.2379991178041334, 0.8833408205279232]","[0.22903473197470925, 0.40407216453994177]",True,4.190766844658356e-09,2.3195738663162047e-09,False,False
prior17303:31,-inf,-inf,-inf,-inf,"[0.2535884966416675, 0.8453201391077383]","[0.23567658320766463, 0.4399418506711144]",True,0.0,0.0,True,True
prior17303:32,-38.19130423263169,-38.191304232634586,-38.19130423263404,-38.191304232632554,"[0.32582401317976406, 0.7509770858181853]","[0.2870769620103597, 0.9233408564691457]",True,2.8990143619012088e-12,8.668621376273222e-13,False,False
prior17303:33,-61.93281980780725,-61.93281980778963,-61.932819807787936,-61.93281980779571,"[0.34691430331453876, 0.7913976801962758]","[0.2664226187034383, 0.7858482919632271]",True,1.9312551557959523e-11,1.1539214028744027e-11,False,False
prior17303:34,-98.48595164594772,-98.48595164586507,-98.48595164581543,-98.48595164587553,"[0.26996037430097763, 0.8860798594608783]","[0.3140179744723621, 0.6981750102712908]",True,1.3228884654381545e-10,7.219114195322618e-11,False,False
prior17303:35,-51.25880756948844,-51.258807569488624,-51.25880756949358,-51.25880756948868,"[0.3048943989108859, 0.8409331011533965]","[0.23024296190638727, 0.5686982278961605]",True,5.137223979545524e-12,2.4158453015843406e-13,False,False
prior17303:36,-127.60113399714409,-127.60113399713772,-127.60113399710623,-127.60113399709279,"[0.2510688316768995, 0.9358594376697512]","[0.2253027832037559, 0.6869230086769885]",True,3.785771696129814e-11,5.1301185521879233e-11,False,True
prior17303:37,-51.67692760060483,-51.67692757728819,-51.676927578030586,-51.676927600094,"[0.33487526396658995, 0.7995839242333549]","[0.304091297079968, 0.8531063126314437]",True,2.3316637509651628e-08,5.108304890200088e-10,False,False
prior17303:38,-73.3915970225465,-73.3915970225649,-73.39159702257737,-73.3915970225911,"[0.2790156488667637, 0.7189553731888696]","[0.28130578558417196, 0.9263946265070573]",True,3.086597644141875e-11,4.459366209630389e-11,False,True
prior17303:39,-39.127592949775504,-39.12759294977731,-39.12759294977731,-39.12759294978251,"[0.2622996360600949, 0.8238929384339042]","[0.2937605652505247, 0.9716415684739839]",True,1.8047785488306545e-12,7.005951374594588e-12,False,True
prior17303:40,-40.745506435430116,-40.745506434780964,-40.74550643734091,-40.74550643824823,"[0.2559397443569744, 0.7970227526618885]","[0.2655294044716141, 0.9143666642165863]",True,1.9107915250060614e-09,2.8181119660075638e-09,False,True
prior17303:41,-35.98627090530802,-35.98627090528896,-35.98627090529744,-35.98627090531281,"[0.27870986510854545, 0.8735553539074237]","[0.29635437286566013, 0.7524248590615555]",True,1.9056756173085887e-11,4.789058039023075e-12,False,False
prior17303:42,-125.90670123252548,-125.90670123253332,-125.90670123252983,-125.90670123253406,"[0.2909245356433682, 0.6827192818002928]","[0.26863764862387707, 0.9309992930216408]",True,7.844391802791506e-12,8.58335624798201e-12,False,True
prior17303:43,-219.15849193380885,-219.15849193380922,-219.15849193380862,-219.15849193380538,"[0.29918149096898466, 0.7108935987750838]","[0.2824408005475812, 0.9948444678392018]",True,3.694822225952521e-13,3.467448550509289e-12,True,True
prior17303:44,-inf,-inf,-inf,-inf,"[0.2829207323385423, 0.8439613630109276]","[0.24937432425972114, 0.4140048605329477]",True,0.0,0.0,True,True
prior17303:45,-207.14503439393675,-207.14503439394042,-207.14503439394295,-207.14503439393926,"[0.24853293853334513, 0.9083490476732746]","[0.33247623741075905, 0.7915995628162328]",True,6.195932655828074e-12,2.5011104298755527e-12,False,False
