rxn_id,enzyme_id,group,u_sub_27C,u_opt_37C,u_supra_44.65C
HSTPTNo1,P06986,default,2.017753712972497e-06,1.4712589899162478e-06,1.622715754576978e-06
THDPSNo1,P0A9D8,default,0.000771838060285261,0.00038791170765092127,0.0003155713547702125
THRD_LNo1,P04968,default,4.7676942078609765e-08,3.304420804274115e-08,3.496323987074948e-08
DHFRNo2,P0ABQ4,default,4.285234338989501e-05,2.494985548559042e-05,2.559660356151398e-05
PRAIiNo1,P00909,default,9.061209875208151e-05,6.859945012340013e-05,0.00014382348007585833
HACD3No2,P77399,default,6.108319495519065e-06,4.279387700768272e-06,4.529307696423533e-06
SHKKNo1,P0A6D7,default,0.00040116358862524133,0.00026555971425518246,0.00028622880443289196
IG3PSNo1,P60595,default,2.764366857583154e-05,1.837420735235999e-05,0.009632851640506925
MTHFR2No1,P0AEZ1,default,0.00018539726855689145,0.0001150749125616904,0.00012411778396767477
DUTPDPNo2,P52006,default,5.890149161166581e-07,3.8681865849813745e-07,3.5506904183852564e-07
DPRNo1,P0A9J4,default,1.5519496947705994e-06,1.1375828220782776e-06,1.1495006854977676e-06
GLNSNo1,P0A9C5,default,0.057524674965154836,0.035520281987350875,0.03325323493284527
ACACT1rNo1,P76461,default,9.089236623226429e-06,6.057002756039268e-06,6.073989651785333e-06
ACGSNo1,P0A6C5,default,0.035201792037948015,0.023255710471470705,0.023997312676867253
ALAALArNo2,P07862,default,0.00010115421204919958,7.257897237691942e-05,7.453547380385691e-05
ADNK1No1,P69441,default,7.610570994756607e-07,2.0083835828665913e-05,6.975459443017728e-06
CPPPGO2No1,P32131,default,2.1735041237495914e-08,4.71754491220134e-06,7.046829829439216e-07
