rank,rxn_id,enzyme_id,group,thermal_screen,"CC[Topt_C,Topt_i]","CC[Topt_C,dCp_i]","CC[CT_max_C,Topt_i]","CC[CT_max_C,dCp_i]","CC[niche_width_C,Topt_i]","CC[niche_width_C,dCp_i]"
74,GLNSNo1,P0A9C5,default,0.0017177322156780995,0.0,-0.0,0.04421290871083272,0.24255248200181284,0.04421290871083272,0.24255248200181284
75,GHMT2r_REVNo1,P0A825,default,0.00034594754142439505,0.0,-0.0,0.008906464546356574,0.04900787913611129,0.008906464546356574,0.04900787913611129
76,ADSSNo1,P0A7D4,default,0.00030557273446552615,0.0,-0.0,0.007867065406422569,0.04328986475986776,0.007867065406422569,0.04328986475986776
77,PYKNo2,P0AD61,default,0.00010897873928564152,0.0,-0.0,0.002865195171914081,0.014405401774676552,0.002865195171914081,0.014405401774676552
78,GTPCINo1,P0A6T5,default,0.00030090907275165775,0.0,-0.0,0.007747004301343452,0.042629354640922525,0.007747004301343452,0.042629354640922525
79,KARA1_REVNo1,P05793,default,0.00011527362691360434,0.0,-0.0,0.0029678546461653355,0.01633342960526012,0.0029678546461653355,0.01633342960526012
80,PGK_REVNo1,P0A799,default,0.00011596767418564742,0.0,-0.0,0.005883565384763756,0.032377920230311226,0.005883565384763756,0.032377920230311226
81,G6PDH2rNo1,P0AC53,default,0.00011885765752728195,0.0,-0.0,0.006013420943588699,0.0330923951203609,0.006013420943588699,0.0330923951203609
82,IPPSNo1,P09151,default,0.00012588942675016406,0.0,-0.0,0.003241164796314422,0.017837436152585574,0.003241164796314422,0.017837436152585574
83,ATPS4rppNo2,P0A6E6,default,0.00012768275335969023,0.0,-0.0,0.11965358909449719,0.8063509341295338,0.11965358909449719,0.8063509341295338
84,ASPKNo3,P08660,default,0.00014823929866959054,0.0,-0.0,0.0038165723560723563,0.021003786015870444,0.0038165723560723563,0.021003786015870444
85,ORPT_REVNo1,P0A7E3,default,0.00015445567958653457,0.0,-0.0,0.003976615091673352,0.02188444973321336,0.003976615091673352,0.02188444973321336
86,METSNo1,P13009,default,0.00015976555511349955,0.0,-0.0,0.004113319276498828,0.0226366824887703,0.004113319276498828,0.0226366824887703
87,ASNS2No1,P00963,default,0.00018669402787126164,0.0,-0.0,0.00480659618917656,0.02645143890723279,0.00480659618917656,0.02645143890723279
88,AIRC2No1,P09029,default,0.00018988222978127774,0.0,-0.0,0.004888676414594784,0.02690307532225353,0.004888676414594784,0.02690307532225353
89,HISTDNo1,P06988,default,0.00019099165001756002,0.0,-0.0,0.004917238405568014,0.027060233692416544,0.004917238405568014,0.027060233692416544
90,3OAR140No1,P0AEK2,default,0.00021375594611538554,0.0,-0.0,0.005503302085458017,0.030284910520545945,0.005503302085458017,0.030284910520545945
91,AICARTNo1,P15639,default,0.000229292452377706,0.0,-0.0,0.005903284628473671,0.032485657819609146,0.005903284628473671,0.032485657819609146
92,IMPC_REVNo1,P15639,default,0.000229292452377706,0.0,-0.0,0.005903284628480776,0.032485657819609146,0.005903284628480776,0.032485657819609146
93,HBZOPTNo1,P0AGK1,default,0.00022983135444620159,0.0,-0.0,0.005917158456377081,0.032561992221674455,0.005917158456377081,0.032561992221674455
94,PFLNo2,P0A9N4,default,0.00024754078003186595,0.0,-0.0,0.00637307940097287,0.035070455383766824,0.00637307940097287,0.035070455383766824
95,EDDNo1,P0ADF6,default,0.0002498635836599429,0.0,-0.0,0.012641005468658761,0.06955045473241193,0.012641005468658761,0.06955045473241193
96,HSKNo1,P00547,default,0.0002570709650372358,0.0,-0.0,0.006618428425177569,0.036420331263237606,0.006618428425177569,0.036420331263237606
97,IMPDNo1,P0ADG7,default,0.0002587820403217402,0.0,-0.0,0.00666247896880634,0.03666268917113223,0.00666247896880634,0.03666268917113223
98,PRAISNo1,P08178,default,0.0002613594603670452,0.0,-0.0,0.006728832956355291,0.03702775533725139,0.006728832956355291,0.03702775533725139
99,TRDRNo1,P0AA25,default,0.00028472469536686563,0.0,-0.0,0.007330561860129592,0.04033713295022723,0.007330561860129592,0.04033713295022723
100,CHORSNo1,P12008,default,2.0165523630337987e-05,0.0,-0.0,0.0005191937576256578,0.002857558595560707,0.0005191937576256578,0.002857558595560707
