rxn_id,enzyme_id,group,u_sub_26.6C,u_opt_36.6C,u_supra_44.6C
LA4NTppNo1,P76473,default,0.0,1.0759865355043358e-09,1.091009263823364e-25
PAPSR2No1,P17854,default,0.0,0.033645172479527426,0.0
R15BPKNo1,P16690,default,0.011533712129882757,0.011531213200613597,0.011672188058204193
FACOAE160No1,P0AGG2,default,7.913974105545676e-05,7.912259439764007e-05,8.008990774821837e-05
FACOAE140No1,P0AGG2,default,0.0,3.409708443185445e-08,0.0
MOBDabcppNo2,P0AEB0,default,1.5502155438385627e-09,1.5498796694078686e-09,1.5688277247316572e-09
DNTPPANo1,P0AFC0,default,1.9359990941122256e-06,1.9355796346405112e-06,1.959243065244451e-06
ACGKNo1,P0A6C8,default,0.0003455079079341614,0.00034543304913640336,0.0003496561411963192
HMBSNo1,P06983,default,0.00046858445130729,0.00046848292637000256,0.00047421036481724426
MEPCTNo1,Q46893,default,2.2046178046661646e-06,1.6459548009515233e-06,2.231086862819796e-06
HSTPTNo1,P06986,default,2.3331609412346515e-06,2.3326554314647546e-06,2.3611733125874975e-06
THDPSNo1,P0A9D8,default,0.0004978614947397377,0.0004977536265489078,0.0005038389139680715
THRD_LNo1,P04968,default,5.1922884392659636e-08,5.1911634622068273e-08,5.254628035888408e-08
DHFRNo2,P0ABQ4,default,3.7780786285508024e-05,3.7772600585051706e-05,3.823438954824436e-05
PRAIiNo1,P00909,default,0.0001091371089859921,0.00010911346300689324,0.00011044742974923694
HACD3No2,P77399,default,6.729514144860691e-06,6.734294891973332e-06,6.810309963922495e-06
SHKKNo2,P0A6E1,default,0.00040425853228650714,0.0004041709443991812,0.00040911213665165423
IG3PSNo1,P60595,default,2.8832943580265254e-05,2.882669654671643e-05,2.917911735186056e-05
PDHNo1,P0A9P0,default,0.0066892100721133545,0.0,0.0
MTHFR2No1,P0AEZ1,default,0.00018020149196123987,0.00018016244895605074,0.00018236502514146018
DUTPDPNo2,P52006,default,5.569185705441491e-07,5.567979068670445e-07,5.636050401895406e-07
DPRNo1,P0A9J4,default,1.7713078384669404e-06,1.7709240615035736e-06,1.7925744952489412e-06
GLNSNo1,P0A9C5,default,0.05255553060541026,0.05254783465372669,0.05318652224167288
ACACT1rNo1,P76461,default,9.340119587475543e-06,9.346754947590458e-06,9.452258829025631e-06
ACGSNo1,P0A6C5,default,0.03618554978381805,0.03617770971217042,0.03662000033552961
ALAALArNo2,P07862,default,0.00011346961672878593,0.00011344503205533759,0.00011483195439906686
MOAT3CNo1,P27241,default,0.0,4.389245748031118e-07,7.544490755393645e-23
ADNK1No1,P69441,default,1.2557077147233982e-07,1.2554356492576972e-07,1.2707839789423815e-07
RHAT1No1,P27126,default,0.0,5.596975445943064e-08,9.620406770120967e-24
GALT1No1,P27127,default,0.0,5.965364381010444e-07,1.0253615087575202e-22
GLCTR2No1,P27128,default,0.0,5.760389226912164e-07,9.901291876718004e-23
HEPK1No1,P25741,default,0.0,5.311305030658487e-08,9.129379853212626e-24
HEPK2No1,P27240,default,0.0,4.724400155979136e-08,8.1205736355841e-24
CPPPGO2No1,P32131,default,2.5343273265960453e-08,2.5337782315027877e-08,2.564754939602762e-08
