rxn_id,enz,sub,bigg,mnx,Temp_C,Temp_K
ACACT3rNo2,P21151,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,5.0,278.15
ACACT3rNo2,P21151,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,11.25,284.4
ACACT3rNo2,P21151,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,17.5,290.65
ACACT3rNo2,P21151,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,23.75,296.9
ACACT3rNo2,P21151,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,30.0,303.15
ACACT3rNo2,P21151,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,36.25,309.4
ACACT3rNo2,P21151,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,42.5,315.65
ACACT3rNo2,P21151,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,48.75,321.9
ACACT3rNo2,P21151,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,55.0,328.15
ACACT4rNo1,P76503,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,5.0,278.15
ACACT4rNo1,P76503,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,11.25,284.4
ACACT4rNo1,P76503,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,17.5,290.65
ACACT4rNo1,P76503,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,23.75,296.9
ACACT4rNo1,P76503,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,30.0,303.15
ACACT4rNo1,P76503,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,36.25,309.4
ACACT4rNo1,P76503,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,42.5,315.65
ACACT4rNo1,P76503,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,48.75,321.9
ACACT4rNo1,P76503,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,55.0,328.15
ACACT4rNo2,P21151,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,5.0,278.15
ACACT4rNo2,P21151,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,11.25,284.4
ACACT4rNo2,P21151,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,17.5,290.65
ACACT4rNo2,P21151,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,23.75,296.9
