rxn_id,enzyme_id,flux,C_i,Ea_i_eV,Ea_kcat_eV,Ea_fN_eV,contrib,base,calvin
3OAS141,,0.0013911926389337526,0.00020681164520919282,0.9919875209813588,0.9919874944261292,2.6555229867462666e-08,0.00020515456574921279,3OAS141,
PGCD,,0.07345139456103919,0.00016232956462358672,1.2544462387685222,1.2546755661965188,-0.00022932742799663096,0.00020367093840453304,PGCD,
ILETA_TG_reverse,,0.018332687493571604,0.00021196214274876723,0.9528855182853057,0.9528855198250501,-1.5397444478237468e-09,0.00020197565657639055,ILETA,
DMATT,,0.0028411436703358293,0.00031274469681763506,0.6190403969080265,0.619040350443866,4.6464160589463466e-08,0.00019360158671744942,DMATT,
EAR80y_TG_forward,,0.02637418718611945,0.00022781129938032052,0.8344280898377585,0.834431008600385,-2.9187626264360243e-06,0.00019009281231248512,EAR80y_TG_forward,
ASPTA_TG_reverse,,0.15469361918650545,0.00015573949059266567,1.2051927486072163,1.2051936012815068,-8.526742904111668e-07,0.00018769623752912208,ASPTA,
GLXO3r_TG_forward,,0.006915267249291181,0.0001679088126871342,1.079402059683754,1.079402061691883,-2.008128910638723e-09,0.00018124111859072885,GLXO3r_TG_forward,
PRAIS,,0.02057841670866298,0.0002238767604634262,0.8051086220107176,0.8051038197195053,4.802291212260266e-06,0.00018024403499553314,PRAIS,
FTR,,0.0181983760148902,0.00018480514264451742,0.9679788392350712,0.9679794592636752,-6.200286038370368e-07,0.00017888758204618634,FTR,
HSTPT_TG_forward,,0.005435204926224219,0.004053664052650063,0.04315815784639825,0.04316437038105767,-6.212534659420966e-06,0.00017497385656896661,HSTPT_TG_forward,
PC8XM_TG_forward,,1.4151370109960429e-05,0.00029824106598796973,0.5828774848919673,0.582877486507779,-1.6158115175636381e-09,0.00017383800291646847,PC8XM_TG_forward,
SULabcpp,,0.012040308949999794,0.00030960112158417985,0.5571904308865894,0.5571899203542018,5.105323875295272e-07,0.00017250662427706071,SULabcpp,
IMPD,,0.010042031798371336,0.0002356592962993176,0.6967428331154693,0.6967438960887479,-1.0629732786784851e-06,0.0001641941762531192,IMPD,
ARGSL_TG_forward,,0.01725859850222561,0.00017002950086775215,0.9599995965153478,0.9599995967495778,-2.342301657236666e-10,0.00016322825226857405,ARGSL_TG_forward,
PRASCSi_TG_forward,,0.02057841670866298,0.00019381307603261178,0.8264381327012227,0.8264381350543492,-2.3531263316787193e-09,0.00016017451710553844,PRASCSi_TG_forward,
GART,,0.02057841670866298,0.00040893017557719347,0.37417578073113433,0.37417650365054916,-7.229194149069411e-07,0.00015301206333467944,GART,
G1SAT,,0.011211098693825739,0.0009645002861047303,0.14730496153769176,0.14729931140319755,5.650134494163318e-06,0.00014207022799141378,G1SAT,
3OAS120,,0.024982994547185697,0.00022328736576371355,0.6248208979341342,0.6248208378307365,6.010339754419592e-08,0.0001395145989535016,3OAS120,
PSP_1,,0.07345139456103919,0.0004994939846736379,0.27774670746519237,0.27774640196134937,3.055038430649561e-07,0.0001387326570444403,PSP_1,
LEUTA_TG_reverse,,0.033316640454844504,0.00018968277375464027,0.6479748718413166,0.6479747417235483,1.3011776836275134e-07,0.00012290964633306927,LEUTA,
CBMK4,,0.03704982900300498,0.00021981398760084758,0.5397832427942206,0.5397832427684249,2.5795692305193798e-11,0.00011865190703304386,CBMK4,
EAR60y_TG_forward,,0.02637418718611945,0.0001703677405928694,0.6898662300031048,0.6898661726510071,5.735209756407279e-08,0.00011753094114600245,EAR60y_TG_forward,
UAMAGS,,0.0016009451351304113,0.0001236360766654343,0.9424530519454819,0.9424520953145941,9.566308876577116e-07,0.00011652107950981435,UAMAGS,
AICART_TG_forward,,0.0260136216348872,0.00026070070086037234,0.4414715960771024,0.441472043283744,-4.472066415634664e-07,0.0001150920710943327,AICART_TG_forward,
LPADSS,,0.0016009451351304113,0.0001026266947423693,1.1133399036029654,1.1133399077107584,-4.107793060136146e-09,0.0001142583948531296,LPADSS,
PGM_TG_reverse,,0.4061100842167945,0.00016759091584495067,0.6475101005365584,0.6475098602511046,2.402854539792748e-07,0.00010851677049811864,PGM,
METS,,0.0077687300664475364,0.00022609621920244294,0.47610558522296986,0.47610553221524915,5.3007720751305126e-08,0.00010764566077523473,METS,
UHGADA,,0.0032018902702608226,0.0002493729491237495,0.4301711781356669,0.43017111248758794,6.56480789672277e-08,0.000107273038948874,UHGADA,
UPPDC1,,0.001387235966618257,0.00020235018526326698,0.5300660122223456,0.5300666149747421,-6.027523967256916e-07,0.00010725907774201187,UPPDC1,
PYK,,0.13672004035109653,0.00013327729393441956,0.7612263406896321,0.7612436891629445,-1.7348473312411336e-05,0.00010145649891629167,PYK,
3HAD160,,0.01857921400666405,0.00010506194493276055,0.9134370413199318,0.9134448730016986,-7.831681766893193e-06,9.596829494641691e-05,3HAD160,
RPI_TG_forward,,0.9651918161285069,8.865083324094414e-05,1.0758647334197937,1.0758647334724603,-5.2666457053328884e-11,9.537630507687989e-05,RPI_TG_forward,
SUCDu_syn,,0.019784994569449342,0.0003467880429486314,0.2679173054550462,0.26791697950720034,3.25947845923887e-07,9.29104049960106e-05,SUCDu_syn,
RBFSa,,8.49881790738368e-05,9.14285726794084e-05,1.0035245467058014,1.0035245400882111,6.617590211234231e-09,9.17508163490249e-05,RBFSa,
ACGK,,0.01725859850222561,7.362181213554919e-05,1.2080491503452964,1.2080553912979834,-6.240952686724167e-06,8.89392270674775e-05,ACGK,
3OAS161,,0.0013911926389337526,0.00011101334308483146,0.7524277071348008,0.7524279997522542,-2.926174531530182e-07,8.352954768313048e-05,3OAS161,
3HAD100,,0.02637418718611945,0.00011585534797076136,0.7125060727810264,0.7125072710580187,-1.1982769923512087e-06,8.254777782012434e-05,3HAD100,
ARGDC,,0.0025392698161030925,0.00012087075912381451,0.6701996506555679,0.6701989078244683,7.428310995370308e-07,8.100745075269487e-05,ARGDC,
ADPT_TG_forward,,0.0020255583279200086,6.490224371269449e-05,1.2429320332374618,1.242932110599424,-7.73619623369172e-08,8.066908276045755e-05,ADPT_TG_forward,
UPP3MT,,1.4151370109960429e-05,9.082240792768204e-05,0.8834644345810672,0.8834738825685524,-9.447987485234899e-06,8.023922535609413e-05,UPP3MT,
PRMICI,,0.005435204926224219,9.072880020610796e-05,0.8768010720389608,0.8768008516448172,2.203941437049482e-07,7.955108928942793e-05,PRMICI,
3OAS100,,0.02637418718611945,0.0001789821626352328,0.43401196870976416,0.43401189530023604,7.340952813885315e-08,7.768038763025248e-05,3OAS100,
3HAD40_2,,0.02637418718611945,0.00011029877510226882,0.688283057275602,0.6882821305423386,9.267332634407986e-07,7.591667592359983e-05,3HAD40_2,
UAGCVT,,0.0016009451351304113,7.62030292866811e-05,0.966459045311141,0.9664589738079111,7.150323002635511e-08,7.364710148546002e-05,UAGCVT,
3HAD120,,0.024982994547185697,0.0001027741123871273,0.6799391803102358,0.6799391288868345,5.142340128796122e-08,6.988014044862097e-05,3HAD120,
