variant,A_ETC_level,A_ETC_nm2_per_gDW,strain,T_C,mu_model,mu_scaled,area_used,binds,frac_of_budget,area::complex I,area::complex II,area::complex III,area::complex IV,area::ATP synthase
full,1xA*,2.6236790098379133e+17,cparapsilosis_iDC1003,44.0,0.03381113948512092,0.3046275170473268,2.6236790098379136e+17,True,1.0000000000000002,5.591432630400846e+16,8356886005814035.0,9.291069444916219e+16,3.0652355206835036e+16,7.45336390179716e+16
full,0.7xA*,1.8365753068865392e+17,cauris_iRV973,22.0,0.012833520255356593,0.13879757376063281,1.1918655723250795e+17,False,0.6489609044921735,0.0,-15319749822201.688,10025360343183.85,3307486916739.54,1.1918854413507022e+17
full,0.7xA*,1.8365753068865392e+17,cauris_iRV973,26.0,0.03635519670648257,0.3931900987450556,1.709059870138848e+17,False,0.9305689038344623,0.0,-43398265417285.35,28400153666210.387,9369552162606.066,1.7091161557347328e+17
full,0.7xA*,1.8365753068865392e+17,cauris_iRV973,30.0,0.060304389178378874,0.6522063111703389,1.8365753068865392e+17,True,1.0,0.0,-619660665566843.5,0.0,0.0,1.8427719135422077e+17
full,0.7xA*,1.8365753068865392e+17,cauris_iRV973,34.0,0.07252805796226561,0.7844081962259153,1.8365753068865395e+17,True,1.0000000000000002,0.0,-108836505677353.05,0.0,0.0,1.837663671943313e+17
full,0.7xA*,1.8365753068865392e+17,cauris_iRV973,38.0,0.07246033151078951,0.7836757185458044,1.8365753068865395e+17,True,1.0000000000000002,0.0,-108734874522077.66,0.0,0.0,1.8376626556317603e+17
full,0.7xA*,1.8365753068865392e+17,cauris_iRV973,40.0,0.06885603260415242,0.7446943686593208,1.8365753068865392e+17,True,1.0,0.0,-103326218762686.39,0.0,0.0,1.837608569074166e+17
full,0.7xA*,1.8365753068865392e+17,cauris_iRV973,44.0,0.057489746095584354,0.6217652768227313,1.8365753068865392e+17,True,1.0,0.0,-86269827886153.95,0.0,0.0,1.8374380051654006e+17
full,0.7xA*,1.8365753068865392e+17,chaemulonii_draft,22.0,0.007086970526994927,0.07664727174521277,1.0887834979465221e+17,False,0.5928335711930518,0.0,-8459924736981.694,5536238838687.702,1826471757631.5735,1.0887944700879286e+17
full,0.7xA*,1.8365753068865392e+17,chaemulonii_draft,26.0,0.021254911280527207,0.22987692055913686,1.4355107970502526e+17,False,0.7816237056371009,0.0,-25372611476169.406,16604029168146.27,5477868860458.813,1.4355437041847283e+17
full,0.7xA*,1.8365753068865392e+17,chaemulonii_draft,30.0,0.04585318854388427,0.49591313937604725,1.8365753068865392e+17,True,1.0,0.0,-68807864921429.055,0.0,0.0,1.8372633855357536e+17
full,0.7xA*,1.8365753068865392e+17,chaemulonii_draft,34.0,0.06495366026317437,0.7024892836895691,1.8365753068865395e+17,True,1.0000000000000002,0.0,-97470270301126.05,0.0,0.0,1.8375500095895507e+17
full,0.7xA*,1.8365753068865392e+17,chaemulonii_draft,38.0,0.07155125739468247,0.7738438657748093,1.8365753068865395e+17,True,1.0000000000000002,0.0,-107370706598950.67,0.0,0.0,1.837649013952529e+17
full,0.7xA*,1.8365753068865392e+17,chaemulonii_draft,40.0,0.0697015087363597,0.7538383941089175,1.8365753068865395e+17,True,1.0000000000000002,0.0,-104594950760320.31,0.0,0.0,1.8376212563941427e+17
full,0.7xA*,1.8365753068865392e+17,chaemulonii_draft,44.0,0.05992247625294928,0.6480758320513826,1.8365753068865395e+17,True,1.0000000000000002,0.0,-89920413011723.14,0.0,0.0,1.8374745110166566e+17
full,0.7xA*,1.8365753068865392e+17,cduobushaemulonii_draft,22.0,0.0181860104067739,0.19668602773212354,1.289353504621423e+17,False,0.7020422738924896,0.0,0.0,110347277798986.12,36404893702011.555,1.2878859829064131e+17
full,0.7xA*,1.8365753068865392e+17,cduobushaemulonii_draft,26.0,0.041780122450523226,0.4518619608781408,1.8108634598252493e+17,False,0.9860001128378024,0.0,0.0,253509300577895.38,83635766319686.9,1.8074920091562736e+17
full,0.7xA*,1.8365753068865392e+17,cduobushaemulonii_draft,30.0,0.05847382299422734,0.632408302524781,1.8365753068865392e+17,True,1.0,0.0,-87746545917427.05,0.0,0.0,1.8374527723457136e+17
full,0.7xA*,1.8365753068865392e+17,cduobushaemulonii_draft,34.0,0.06358024803115811,0.6876355037613794,1.8365753068865392e+17,True,1.0,0.0,-95409310827140.23,0.0,0.0,1.8375293999948106e+17
full,0.7xA*,1.8365753068865392e+17,cduobushaemulonii_draft,38.0,0.061109194727305985,0.6609104745890667,1.8365753068865392e+17,True,1.0,0.0,-91701217511396.61,0.0,0.0,1.837492319061653e+17
full,0.7xA*,1.8365753068865392e+17,cduobushaemulonii_draft,40.0,0.057527823502825044,0.6221770930379975,1.8365753068865392e+17,True,1.0,0.0,-86326967316958.45,0.0,0.0,1.8374385765597088e+17
full,0.7xA*,1.8365753068865392e+17,cduobushaemulonii_draft,44.0,0.04719350980192702,0.5104090325506799,1.8365753068865395e+17,True,1.0000000000000002,0.0,-100695429401428.86,0.0,0.0,1.837582261180554e+17
full,0.7xA*,1.8365753068865392e+17,cparapsilosis_iDC1003,22.0,0.01339235245101142,0.14484147686382404,1.8365753068865392e+17,True,1.0,0.0,3310103252569700.0,9.529690806254494e+16,3.1439595768434916e+16,5.361092360510437e+16
full,0.7xA*,1.8365753068865392e+17,cparapsilosis_iDC1003,26.0,0.03218008916052291,0.34803531766875384,1.8365753068865392e+17,True,1.0,0.0,8493975544566970.0,8.662378468539622e+16,2.857822808535799e+16,5.9961542373332744e+16
full,0.7xA*,1.8365753068865392e+17,cparapsilosis_iDC1003,30.0,0.04659692380804356,0.5039568131406519,1.8365753068865395e+17,True,1.0000000000000002,0.0,1.2299317422747036e+16,8.564772454121726e+16,2.8256214108172852e+16,5.745427461651678e+16
full,0.7xA*,1.8365753068865392e+17,cparapsilosis_iDC1003,34.0,0.052958009419762114,0.5727534668897812,1.8365753068865395e+17,True,1.0000000000000002,1.1217667774993586e+16,1.4158549367914804e+16,7.445567746708802e+16,2.4563823211282704e+16,5.926181286737483e+16
full,0.7xA*,1.8365753068865392e+17,cparapsilosis_iDC1003,38.0,0.04952444013662077,0.5356185984860682,1.8365753068865392e+17,True,1.0,1.3619763916278398e+16,1.324056999640594e+16,7.27349175280167e+16,2.3996123817894076e+16,6.006615543005881e+16
full,0.7xA*,1.8365753068865392e+17,cparapsilosis_iDC1003,40.0,0.04492161155739785,0.4858379127100366,1.8365753068865392e+17,True,1.0,1.731880937249092e+16,1.18571166191534e+16,7.022664891385569e+16,2.3168615844013972e+16,6.108633993913995e+16
full,0.7xA*,1.8365753068865392e+17,cparapsilosis_iDC1003,44.0,0.0314635618903452,0.3402859048299433,1.8365753068865392e+17,True,1.0,2.981752716514363e+16,7776650064402560.0,6.440683863603493e+16,2.124859045910243e+16,6.040792436397036e+16
full,0.5xA*,1.3118395049189566e+17,cauris_iRV973,22.0,0.01283352025535507,0.16242659069141688,1.191865572325052e+17,False,0.9085452662890218,0.0,-15319749822196.064,10025360343198.928,3307486916744.514,1.1918854413506746e+17
full,0.5xA*,1.3118395049189566e+17,cauris_iRV973,26.0,0.03322937161500924,0.42056531916813195,1.3118395049189566e+17,True,1.0,0.0,-341939710349202.8,0.0,0.0,1.3152589020224486e+17
full,0.5xA*,1.3118395049189566e+17,cauris_iRV973,30.0,0.05261253009500859,0.6658869679514426,1.3118395049189568e+17,True,1.0000000000000002,0.0,-540622595801313.9,0.0,0.0,1.31724573087697e+17
full,0.5xA*,1.3118395049189566e+17,cauris_iRV973,34.0,0.06258964626671716,0.7921616714200108,1.3118395049189566e+17,True,1.0,0.0,-642720570119240.5,0.0,0.0,1.3182667106201491e+17
full,0.5xA*,1.3118395049189566e+17,cauris_iRV973,38.0,0.06123669644708752,0.775038152525239,1.311839504918957e+17,True,1.0000000000000002,0.0,-1803973498790708.2,0.0,0.0,1.329879239906864e+17
full,0.5xA*,1.3118395049189566e+17,cauris_iRV973,40.0,0.05736416953506721,0.7260257746924496,1.3118395049189568e+17,True,1.0000000000000002,0.0,-3949035133787783.5,0.0,0.0,1.3513298562568346e+17
full,0.5xA*,1.3118395049189566e+17,cauris_iRV973,44.0,0.045858927349442025,0.5804104465434653,1.3118395049189568e+17,True,1.0000000000000002,0.0,-5119711636088109.0,0.0,0.0,1.3630366212798379e+17
full,0.5xA*,1.3118395049189566e+17,chaemulonii_draft,22.0,0.007086970526994922,0.08969576843501002,1.088783497946522e+17,False,0.8299669996702723,0.0,-8459924736982.746,5536238838683.023,1826471757630.0298,1.0887944700879286e+17
full,0.5xA*,1.3118395049189566e+17,chaemulonii_draft,26.0,0.021095521438801734,0.26699405603326076,1.3118395049189566e+17,True,1.0,0.0,-28903524205233.625,0.0,0.0,1.312128540161009e+17
full,0.5xA*,1.3118395049189566e+17,chaemulonii_draft,30.0,0.04096371448248395,0.5184545123283789,1.3118395049189566e+17,True,1.0,0.0,-61470659343404.375,0.0,0.0,1.3124542115123907e+17
full,0.5xA*,1.3118395049189566e+17,chaemulonii_draft,34.0,0.05768680310206905,0.730109164852593,1.3118395049189566e+17,True,1.0,0.0,-86565534080505.94,0.0,0.0,1.3127051602597618e+17
full,0.5xA*,1.3118395049189566e+17,chaemulonii_draft,38.0,0.062680182303105,0.7933075347086945,1.3118395049189566e+17,True,1.0,0.0,-94058661003147.38,0.0,0.0,1.3127800915289882e+17
full,0.5xA*,1.3118395049189566e+17,chaemulonii_draft,40.0,0.06031919717517825,0.7634258843608672,1.3118395049189566e+17,True,1.0,0.0,-90515737360906.92,0.0,0.0,1.3127446622925658e+17
full,0.5xA*,1.3118395049189566e+17,chaemulonii_draft,44.0,0.05048745515359987,0.6389910990994999,1.3118395049189566e+17,True,1.0,0.0,-75762103023890.08,0.0,0.0,1.3125971259491955e+17
full,0.5xA*,1.3118395049189566e+17,cduobushaemulonii_draft,22.0,0.018186010406773902,0.23017002427049083,1.2893535046214227e+17,False,0.9828591834494853,0.0,0.0,110347277798986.8,36404893702011.77,1.2878859829064128e+17
full,0.5xA*,1.3118395049189566e+17,cduobushaemulonii_draft,26.0,0.0389706260754339,0.4932291222201082,1.3118395049189568e+17,True,1.0000000000000002,0.0,-58479806095396.29,0.0,0.0,1.3124243029799107e+17
full,0.5xA*,1.3118395049189566e+17,cduobushaemulonii_draft,30.0,0.05275891890673763,0.6677397281552998,1.3118395049189566e+17,True,1.0,0.0,-79170689777900.94,0.0,0.0,1.3126312118167357e+17
full,0.5xA*,1.3118395049189566e+17,cduobushaemulonii_draft,34.0,0.05726673966199577,0.724792660020901,1.3118395049189568e+17,True,1.0000000000000002,0.0,-85935181658786.5,0.0,0.0,1.3126988567355446e+17
full,0.5xA*,1.3118395049189566e+17,cduobushaemulonii_draft,38.0,0.054488392617295114,0.6896286964903183,1.3118395049189566e+17,True,1.0,0.0,-81765959534273.75,0.0,0.0,1.3126571645142994e+17
full,0.5xA*,1.3118395049189566e+17,cduobushaemulonii_draft,40.0,0.05081285879724095,0.6431095485493405,1.3118395049189566e+17,True,1.0,0.0,-76250407777989.97,0.0,0.0,1.3126020089967365e+17
full,0.5xA*,1.3118395049189566e+17,cduobushaemulonii_draft,44.0,0.04035247096735855,0.5107183496646213,1.3118395049189568e+17,True,1.0000000000000002,0.0,-86098902338902.14,0.0,0.0,1.3127004939423458e+17
full,0.5xA*,1.3118395049189566e+17,cparapsilosis_iDC1003,22.0,0.012786716111240935,0.1618342171721156,1.3118395049189566e+17,True,1.0,0.0,3160411939898394.0,6.268080670933634e+16,2.0679151773608028e+16,4.466358006905291e+16
full,0.5xA*,1.3118395049189566e+17,cparapsilosis_iDC1003,26.0,0.031193761442046147,0.3948017551738183,1.3118395049189566e+17,True,1.0,0.0,8233633086288523.0,5.395901387218276e+16,1.7801727450500178e+16,5.118957608292421e+16
full,0.5xA*,1.3118395049189566e+17,cparapsilosis_iDC1003,30.0,0.04548519343525405,0.5756803082572081,1.3118395049189565e+17,True,0.9999999999999999,0.0,1.1586475993735702e+16,5.184190636695037e+16,1.7103268229565738e+16,5.065229990164384e+16
full,0.5xA*,1.3118395049189566e+17,cparapsilosis_iDC1003,34.0,0.05145465309284902,0.6512323751227681,1.3118395049189566e+17,True,1.0,0.0,1.1551313424600512e+16,5.175579195380116e+16,1.7074858049274578e+16,5.080198706421941e+16
