variant,A_ETC_level,A_ETC_over_Astar,A_ETC_nm2_per_gDW,strain,role,growth_scale,peak_mu_model,peak_mu,peak_T_C,Topt_C,rmax,CTmax_C,CTmin_C,Ea_eV,thermal_limit_C,mu_40C,fit_r2,plateau_1pct_width_C,plateau_0p01pct_width_C
chain_only,3xA*,3.0,7.87103702951374e+17,cauris_iRV973,calibrate_on,7.670305186259769,0.10414187970394363,0.7987999999999998,38.0,38.0,0.7987999999999998,53.58161416126337,19.26367387594482,1.3051499730384428,53.46923828125,0.7836018748547869,0.25389834912752707,2.5,0.0
chain_only,3xA*,3.0,7.87103702951374e+17,chaemulonii_draft,predict,7.670305186259769,0.08942950998142198,0.6859516342151708,39.0,39.0,0.6859516342151708,53.285916578560986,20.542370701886895,1.317564254329061,53.0885009765625,0.6839480597188036,-2.0320876943855772,2.5,0.5
chain_only,3xA*,3.0,7.87103702951374e+17,cduobushaemulonii_draft,predict,7.670305186259769,0.07379667744647844,0.5660430377464629,36.0,36.0,0.5660430377464629,53.91251136509637,17.174083710822543,1.2652379126173268,53.672607421875,0.5352716819545019,-0.30332919437718386,3.0,0.0
chain_only,3xA*,3.0,7.87103702951374e+17,cparapsilosis_iDC1003,predict,7.670305186259769,0.07213229903352739,0.5532767473737057,35.5,35.5,0.5532767473737057,53.27415798647496,16.97666310932856,1.1903701612750728,52.97698974609375,0.5122348806269181,-0.016964219023445803,2.5,0.0
chain_only,2xA*,2.0,5.2473580196758266e+17,cauris_iRV973,calibrate_on,7.67030518625975,0.10414187970394354,0.7987999999999971,38.0,38.0,0.7987999999999971,53.581614160250915,19.263673875948847,1.305149973039321,53.46923828125,0.7836018748547842,0.2538983491271516,2.5,0.0
chain_only,2xA*,2.0,5.2473580196758266e+17,chaemulonii_draft,predict,7.67030518625975,0.08942950998142199,0.6859516342151691,39.0,39.0,0.6859516342151691,53.285916578560986,20.542370981206975,1.3175642543290607,53.0885009765625,0.6839480597188028,-2.0320876943855657,2.5,0.5
chain_only,2xA*,2.0,5.2473580196758266e+17,cduobushaemulonii_draft,predict,7.67030518625975,0.07379667744647868,0.5660430377464634,36.0,36.0,0.5660430377464634,53.912511365096364,17.17408943128548,1.2652407449166303,53.672607421875,0.535271681954502,-0.3033291943772112,3.0,0.0
chain_only,2xA*,2.0,5.2473580196758266e+17,cparapsilosis_iDC1003,predict,7.67030518625975,0.06505419422373865,0.4989855233422916,35.5,35.5,0.4989855233422916,52.92850038912316,16.71352708958071,1.1837789399240153,52.51129150390625,0.4495474620771884,0.07974056339982005,2.5,0.0
chain_only,1xA*,1.0,2.6236790098379133e+17,cauris_iRV973,calibrate_on,7.670305186259772,0.1041418797039436,0.7988,38.0,38.0,0.7988,53.58161416167648,19.263673838181973,1.305149973038964,53.46923828125,0.7836018748547865,0.2538983491274531,2.5,0.0
chain_only,1xA*,1.0,2.6236790098379133e+17,chaemulonii_draft,predict,7.670305186259772,0.08942950998142217,0.6859516342151725,39.0,39.0,0.6859516342151725,53.285916586802315,20.542370981206982,1.317564254329062,53.0885009765625,0.6839480597188036,-2.032087694385582,2.5,0.5
