rxn_id,mw_kDa,kcat_s,source,group
R01070__cyto,39.22,0.2463,dlkcat,Biosynthesis of antibiotics
R11945__mito,43.441429,50.7309,dlkcat,Oxidative Phosphorilation
R03409__cyto,70.08,3.6947,dlkcat,Purine metabolism
R02748__cyto,33.07,0.9343,dlkcat,Purine metabolism
R01496__cyto,90.685714,3.8204,dlkcat,Sphingolipid metabolism
R00239__cyto,47.82,26.2958,dlkcat,Biosynthesis of antibiotics
R10035__cyto,91.113333,6.3223,dlkcat,Cyanoamino acid metabolism
R06516__cyto,147.66,3.2687,dlkcat,Sphingolipid metabolism
R00995__pero,69.3,2.2289,dlkcat,C5-Branched dibasic acid metabolism
R02093__cyto,16.88,1.1187,dlkcat,Pyrimidine metabolism
R01056__cyto,25.44,36.8219,dlkcat,Biosynthesis of antibiotics
R02047__mito,45.33,1.1335,dlkcat,
R01665__cyto,59.4,19.1231,dlkcat,Pyrimidine metabolism
R01059__cyto,62.56,7.5961,dlkcat,Fructose and mannose metabolism
R00129__cyto,63.0875,120.4111,dlkcat,
R02372__cyto,60.835,47.2381,dlkcat,Pyrimidine metabolism
R08359__cyto,34.62,1.4209,dlkcat,Glutathione metabolism
R02094__cyto,22.67,3.8715,dlkcat,Pyrimidine metabolism
R01724__cyto,47.22,16.8815,dlkcat,Nicotinate and nicotinamide metabolism
R08091__cyto,84.805,10.3756,dlkcat,Geraniol degradation
R00191__cyto,63.836667,4.9776,dlkcat,Purine metabolism
R03018__cyto,62.22,29.6556,dlkcat,Pantothenate and CoA biosynthesis
R07113__cyto,32.685,294.29,dlkcat,Metabolism of xenobiotics by cytochrome P450
R11945__cyto,43.441429,50.7309,dlkcat,Oxidative Phosphorilation
R00569__cyto,86.975,25.2229,dlkcat,Pyrimidine metabolism
R03238__cyto,105.13,11.8962,dlkcat,Galactose metabolism
R07003__cyto,32.685,37.6148,dlkcat,Metabolism of xenobiotics by cytochrome P450
R07384__cyto,32.89,90.4437,dlkcat,Ether lipid metabolism
R03348__cyto,32.51,0.0775,dlkcat,Nicotinate and nicotinamide metabolism
R07274__cyto,46.99,80.7728,dlkcat,Cysteine and methionine metabolism
R05639__cyto,40.94,0.8425,dlkcat,Biosynthesis of antibiotics
R07494__cyto,38.67,0.7099,dlkcat,Biosynthesis of antibiotics
R03458__cyto,45.33,60.0575,dlkcat,Riboflavin metabolism
R10828__mito,40.94,13.7,default_13.7,Fatty acid elongation
R07896__pero,79.676667,15.7101,dlkcat,alpha-Linolenic acid metabolism
R02030__mito,31.82,13.7,default_13.7,Glycerophospholipid metabolism
R01857__cyto,16.88,0.5972,dlkcat,Purine metabolism
R12173__cyto,56.8,9.4986,dlkcat,Biosynthesis of unsaturated fatty acids
R00710__cyto,55.16,11.0879,dlkcat,Biosynthesis of antibiotics
R04420__cyto,43.93,2.613,dlkcat,Cysteine and methionine metabolism
R02568__cyto,39.22,0.2399,dlkcat,Microbial metabolism in diverse environments
R03304__cyto,29.59,8.8184,dlkcat,Tyrosine metabolism
R00026__cyto,91.113333,23.1263,dlkcat,
R02250__cyto,77.21,13.7,default_13.7,Glycerolipid metabolism
R00590__pero,36.805,17.9066,dlkcat,Cysteine and methionine metabolism
R10633__cyto,31.58,13.7,default_13.7,Nicotinate and nicotinamide metabolism
R01324__mito,71.49,75.2874,dlkcat,2-Oxocarboxylic acid metabolism
R03422__cyto,55.3025,13.7,default_13.7,
R00275__cyto,28.75,91.248,dlkcat,
R07394__cyto,51.895,4.2541,dlkcat,Cysteine and methionine metabolism
R00964__cyto,59.45,8.5561,dlkcat,Pyrimidine metabolism
R11218__cyto,49.694167,13.7,default_13.7,
R00939__mito,23.08,39.9863,dlkcat,One carbon pool by folate
R09087__cyto,77.7,3.1015,dlkcat,
R12119__cyto,59.77,3.3525,dlkcat,
R02850__cyto,55.9675,33.7609,dlkcat,
R00621__mito,114.23,5.884,dlkcat,Citrate cycle (TCA cycle)
R03084__cyto,115.155,8.1161,dlkcat,Biosynthesis of antibiotics
R00867__cyto,53.883333,11.6887,dlkcat,Fructose and mannose metabolism
R07491__cyto,42.05,2.5124,dlkcat,Steroid biosynthesis
R01083__cyto,54.27,18.9207,dlkcat,"Alanine, aspartate and glutamate metabolism"
R02978__cyto,35.09,1.4882,dlkcat,Sphingolipid metabolism
R02035__cyto,32.52,38.1155,dlkcat,Biosynthesis of antibiotics
R12427__mito,90.685714,13.7,default_13.7,Lipoic acid metabolism
R00342__mito,34.41,105.3567,dlkcat,Biosynthesis of antibiotics
R00428__cyto,31.66,13.7,default_13.7,Folate biosynthesis
R12152__cyto,63.21,24.56,dlkcat,
R02694__cyto,90.685714,13.7,default_13.7,
R04725__cyto,114.783333,13.7,default_13.7,Fatty acid biosynthesis
R03363__cyto,57.286,13.7,default_13.7,Inositol phosphate metabolism
R00651__cyto,46.99,21.5557,dlkcat,
R07509__cyto,40.4,0.7025,dlkcat,Biosynthesis of antibiotics
R04945__cyto,66.69,10.7464,dlkcat,
R02665__cyto,18.55,0.6832,dlkcat,Tryptophan metabolism
R00402__cyto,40.94,0.386,dlkcat,Carbon fixation pathways in prokaryotes
R00782__cyto,43.785,39.2726,dlkcat,Cysteine and methionine metabolism
R07981__cyto,34.1,1.1602,dlkcat,Microbial metabolism in diverse environments
R09877__cyto,70.08,2.4484,dlkcat,
R00870__cyto,45.33,30.6816,dlkcat,Fructose and mannose metabolism
R00127__mito,31.78,13.7,default_13.7,Biosynthesis of antibiotics
R03650__cyto,86.78,3.9439,dlkcat,Aminoacyl-tRNA biosynthesis
R00342__cyto,34.41,105.3567,dlkcat,Biosynthesis of antibiotics
R07762__cyto,40.106667,13.7,default_13.7,Fatty acid biosynthesis
R06590__cyto,72.55,0.1449,dlkcat,Biosynthesis of antibiotics
R01899__mito,46.51,6.7123,dlkcat,2-Oxocarboxylic acid metabolism
R04953__cyto,152.045,13.7,default_13.7,Fatty acid biosynthesis
R03921__cyto,54.23,7.9416,dlkcat,Starch and sucrose metabolism
R02408__cyto,43.785,77.8603,dlkcat,Cysteine and methionine metabolism
R09420__cyto,43.866667,72.952,dlkcat,Metabolism of xenobiotics by cytochrome P450
R00778__cyto,13.93,1.2496,dlkcat,Microbial metabolism in diverse environments
R04543__cyto,152.045,13.7,default_13.7,Fatty acid biosynthesis
R12152__mito,63.21,24.56,dlkcat,
R03968__cyto,85.6,3.5527,dlkcat,2-Oxocarboxylic acid metabolism
R00181__cyto,87.36,13.7,default_13.7,Biosynthesis of antibiotics
R02297__cyto,33.07,12.003,dlkcat,Purine metabolism
R03469__cyto,65.42,13.7,default_13.7,Inositol phosphate metabolism
R00702__cyto,50.35,0.0407,dlkcat,Biosynthesis of antibiotics
R01954__cyto,45.46,4.1441,dlkcat,Biosynthesis of antibiotics
R00529__cyto,56.86,8.1647,dlkcat,Biosynthesis of antibiotics
R11218__mito,49.694167,13.7,default_13.7,
R00710__mito,55.16,11.0879,dlkcat,Biosynthesis of antibiotics
R04762__cyto,29.59,0.4755,dlkcat,Steroid hormone biosynthesis
R03528__cyto,44.88,13.7,default_13.7,
R01074__cyto,75.24,1.8126,dlkcat,Biotin metabolism
R03596__cyto,35.98,1.8035,dlkcat,Selenocompound metabolism
R07951__pero,71.49,180.0695,dlkcat,Fatty acid metabolism
R12085__cyto,90.685714,11.1576,dlkcat,Arginine and proline metabolism
R00494__cyto,63.95,38.4137,dlkcat,Glutathione metabolism
R06366__cyto,55.16,16.5386,dlkcat,Limonene and pinene degradation
R06527__cyto,38.725,15.9933,dlkcat,Sphingolipid metabolism
R00114__cyto,231.18,16.0578,dlkcat,Biosynthesis of antibiotics
R03654__cyto,68.34,4.4097,dlkcat,Aminoacyl-tRNA biosynthesis
R09644__cyto,57.286,13.7,default_13.7,
