rxn_id,enzyme_id,flux,C_i,Ea_i_eV,Ea_kcat_eV,Ea_fN_eV,contrib,base,backbone
rxn03437_LSQBKT_c0_RSQBKT_,,0.029954081887990758,0.00016026597153828703,-0.15920515424280057,-0.15920515428781568,4.501508808517967e-11,-2.551516872583966e-05,rxn03437,
rxn10596_LSQBKT_c0_RSQBKT_,,0.0003835954755751057,2.333012889543795e-05,0.9745445983283975,0.9745447189972954,-1.2066889787400298e-07,2.273625390857526e-05,rxn10596,
rxn10567_LSQBKT_c0_RSQBKT_,,0.0007671909511502113,2.5585803942185237e-05,-0.8675624412828973,-0.8675392488499148,-2.3192432982508965e-05,-2.219668913322457e-05,rxn10567,
rxn02507_LSQBKT_c0_RSQBKT_,,0.005847389834488075,2.3974496143885915e-05,0.8651341837514942,0.8651459195321414,-1.1735780647183408e-05,2.0741437511721957e-05,rxn02507,
rxn02175_LSQBKT_c0_RSQBKT_,,0.0007671827383606857,1.5173874867713266e-05,1.3178223654509893,1.3179063914781919,-8.402602720266472e-05,1.9997746671649618e-05,rxn02175,
rxn02476_LSQBKT_c0_RSQBKT_,,0.04108956227737967,4.8568485822020335e-05,0.37976622161860396,0.37976622819923367,-6.580629620425959e-09,1.844467066997662e-05,rxn02476,
rxn02056_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,1.4994760011433073e-05,1.2240558645860038,1.224061100799378,-5.2362133740957575e-06,1.835450244581726e-05,rxn02056,
rxn00770_LSQBKT_c0_RSQBKT_,,0.06818936532408056,2.7539949032373556e-05,-0.6619905070896588,-0.661985135977547,-5.37111211153985e-06,-1.8231036905010523e-05,rxn00770,
rxn10595_LSQBKT_c0_RSQBKT_,,0.0003835954755751057,1.9868315626059285e-05,0.8888639551460307,0.8888641676625495,-2.1251651873594312e-07,1.7660233831814013e-05,rxn10595,
rxn00351_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,1.5308211487319312e-05,1.1126715664973057,1.1126733246420408,-1.7581447348743646e-06,1.703303856991906e-05,rxn00351,
rxn00863_LSQBKT_c0_RSQBKT_,,0.009819201797536583,3.7164667032740795e-05,0.45775782755290145,0.45775787832358594,-5.077068454009377e-08,1.7012419129509947e-05,rxn00863,
rxn01101_LSQBKT_c0_RSQBKT_,,0.039429522487482674,2.174873992011328e-05,0.7683868433705241,0.7683910623228236,-4.218952299626381e-06,1.6711537371398647e-05,rxn01101,
rxn01333_LSQBKT_c0_RSQBKT_,,0.02336910738999405,4.823108589180336e-05,0.326582034477846,0.32658035357158854,1.6809062574320165e-06,1.57513250836868e-05,rxn01333,
rxn05144_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,9.357189867387206e-06,1.608926179025164,1.6089447065464317,-1.852752126751478e-05,1.5055201105282552e-05,rxn05144,
rxn01022_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,1.3623117345318292e-05,1.0960271277051397,1.0960307748013056,-3.6470961662037856e-06,1.4931355859198313e-05,rxn01022,
rxn05232_LSQBKT_c0_RSQBKT_,,0.002655907142316092,2.531704120789513e-05,0.5840539685751583,0.5840539685751479,1.0511622714007901e-14,1.4786518390051707e-05,rxn05232,
rxn00493_LSQBKT_c0_RSQBKT_,,0.019141927099692098,2.2153118750534162e-05,0.662330227768205,0.6623302277611294,7.0756618650877845e-12,1.4672680187660637e-05,rxn00493,
rxn00416_LSQBKT_c0_RSQBKT_,,0.024878988824095553,2.4916214935721825e-05,0.5087489946388375,0.5087489943421554,2.966821206641816e-10,1.267609929136147e-05,rxn00416,
