line,step_sd,logL
axis:f_maint,-0.75,2.5791346812004816
axis:f_maint,-0.7000000000000001,2.578418120071009
axis:f_maint,-0.65,2.578632505695742
axis:f_maint,-0.6000000000000001,2.5742318668226716
axis:f_maint,-0.55,2.5670738352710596
axis:f_maint,-0.5,2.5579629743322037
axis:f_maint,-0.45,2.5477398052543223
axis:f_maint,-0.4,2.534619502907644
axis:f_maint,-0.35000000000000003,2.5185717462271073
axis:f_maint,-0.30000000000000004,2.5005706743323723
axis:f_maint,-0.25,2.4853479232230518
axis:f_maint,-0.2,2.459326482987657
axis:f_maint,-0.15000000000000002,2.435435054278901
axis:f_maint,-0.1,2.41365287049669
axis:f_maint,-0.05,2.3899807380210993
axis:f_maint,0.0,2.3643166223999525
axis:f_maint,0.05,2.336658540905473
axis:f_maint,0.1,2.3074795872896257
axis:f_maint,0.15000000000000002,2.276372660933952
axis:f_maint,0.2,2.242902562704889
axis:f_maint,0.25,2.207434047757348
axis:f_maint,0.30000000000000004,2.1699646252422733
axis:f_maint,0.35000000000000003,2.1304918691867547
axis:f_maint,0.4,2.0888123558277027
axis:f_maint,0.45,2.044593038509333
axis:f_maint,0.5,1.9973148400863145
axis:f_maint,0.55,1.9622294580043578
axis:f_maint,0.6000000000000001,1.9132853453227798
axis:f_maint,0.65,1.8543204789730354
axis:f_maint,0.7000000000000001,1.7898667151114847
axis:f_maint,0.75,1.6262395703279298
axis:f_maint,0.8,1.6638232308368255
axis:f_maint,0.8500000000000001,1.598484084180103
axis:f_maint,0.9,1.4584477844699302
axis:f_maint,0.9500000000000001,1.460599980692458
axis:f_maint,1.0,1.388045945351386
axis:ngam_scale,-1.0,-18.98264214236477
axis:ngam_scale,-0.9500000000000001,-18.826360769653345
axis:ngam_scale,-0.9,-18.674266480622016
axis:ngam_scale,-0.8500000000000001,-18.526275046217606
axis:ngam_scale,-0.8,-18.382309772257624
axis:ngam_scale,-0.75,-18.24230123161876
axis:ngam_scale,-0.7000000000000001,-18.107745876264698
axis:ngam_scale,-0.65,-17.986275023938934
axis:ngam_scale,-0.6000000000000001,-17.868539124924727
axis:ngam_scale,-0.55,-17.754488130788538
axis:ngam_scale,-0.5,-17.644078185590402
axis:ngam_scale,-0.45,-17.537271723889457
axis:ngam_scale,-0.4,-17.431525764258975
axis:ngam_scale,-0.35000000000000003,-17.284651033834663
axis:ngam_scale,-0.30000000000000004,-17.16399548410284
axis:ngam_scale,-0.25,-16.69228899886563
axis:ngam_scale,-0.2,-15.9605443594957
axis:ngam_scale,-0.15000000000000002,2.4391843285833374
axis:ngam_scale,-0.1,2.4173534380390427
axis:ngam_scale,-0.05,2.3928453215085645
axis:ngam_scale,0.0,2.3643166223999525
axis:ngam_scale,0.05,2.3432672462546993
axis:ngam_scale,0.1,2.313865100653087
axis:ngam_scale,0.15000000000000002,2.2706910616585367
axis:ngam_scale,0.2,2.2225997543185665
axis:ngam_scale,0.25,2.1695753951396974
axis:ngam_scale,0.30000000000000004,2.111596732517076
axis:ngam_scale,0.35000000000000003,2.04850221455918
axis:ngam_scale,0.4,1.9324024566181828
axis:ngam_scale,0.45,1.8194207913365616
axis:ngam_scale,0.5,1.7304005639351665
axis:ngam_scale,0.55,1.6363843067795039
axis:ngam_scale,0.6000000000000001,1.4635874479092834
axis:ngam_scale,0.65,1.4332769284067564
axis:ngam_scale,0.7000000000000001,1.3240598990218904
axis:ngam_scale,0.75,1.2096550485847382
axis:ngam_scale,0.8,1.0899970102780985
axis:ngam_scale,0.8500000000000001,0.9650197199988755
axis:ngam_scale,0.9,0.8346326208278212
axis:ngam_scale,0.9500000000000001,0.6560117225396422
axis:ngam_scale,1.0,0.5571154385474126
axis:ngam_steepness,-1.0,2.4977406029958678
axis:ngam_steepness,-0.9500000000000001,2.509405482717679
axis:ngam_steepness,-0.9,2.521160940008274
axis:ngam_steepness,-0.8500000000000001,2.533019012193129
axis:ngam_steepness,-0.8,2.538540086927879
axis:ngam_steepness,-0.75,2.532256387103864
axis:ngam_steepness,-0.7000000000000001,2.525296897159671
axis:ngam_steepness,-0.65,2.5176618768120296
axis:ngam_steepness,-0.6000000000000001,2.509353012954194
axis:ngam_steepness,-0.55,2.500372936090171
axis:ngam_steepness,-0.5,2.4907252767923946
axis:ngam_steepness,-0.45,2.4804146624696717
axis:ngam_steepness,-0.4,2.4694467423692297
axis:ngam_steepness,-0.35000000000000003,2.45782818344738
axis:ngam_steepness,-0.30000000000000004,2.445566684587296
axis:ngam_steepness,-0.25,2.432670980504024
axis:ngam_steepness,-0.2,2.4196577006998186
axis:ngam_steepness,-0.15000000000000002,2.4034867299223697
axis:ngam_steepness,-0.1,2.3869579015485565
axis:ngam_steepness,-0.05,2.3741700408002626
axis:ngam_steepness,0.0,2.3643166223999525
axis:ngam_steepness,0.05,2.3538612207252267
axis:ngam_steepness,0.1,2.342816429366821
axis:ngam_steepness,0.15000000000000002,2.331195884887343
axis:ngam_steepness,0.2,2.319014014270803
axis:ngam_steepness,0.25,2.3038447728943163
axis:ngam_steepness,0.30000000000000004,2.2859963898228166
