rung,experiment,strain,quantity,before,after,abs_change,rel_change
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,model_mu_44C,0.3486828430042659,0.3486828430042679,1.9984014443252818e-15,5.731286997395604e-15
B1,transfer_candida_B1_unfolding,(global),scale,1.9176776375861837,1.9176776375861588,-2.4868995751603507e-14,1.2968287925027154e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,growth_scale,1.9237855931470491,1.9237855931470096,-3.952393967665557e-14,2.054487767111294e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,peak_mu,0.7988000000000017,0.7988,-1.7763568394002505e-15,2.223781721833058e-15
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,peak_mu_model,0.4152229868263409,0.4152229868263486,7.716050021144838e-15,1.8582906693390578e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_pool_free_model,2.044991485091814,2.0449914850918147,8.881784197001252e-16,4.3431888405161197e-16
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,pool_binding_ratio,4.9250440124286206,4.925044012428582,-3.8191672047105385e-14,7.754584923652782e-15
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_all_caps_free_model,2.044991485091814,2.0449914850918147,8.881784197001252e-16,4.3431888405161197e-16
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,all_caps_ratio,4.9250440124286206,4.925044012428582,-3.8191672047105385e-14,7.754584923652782e-15
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,fit_r2,0.6736972940255935,0.6736972940256297,3.6193270602780103e-14,5.3723342699674154e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,descr_rmax,0.7988000000000074,0.7987999999999931,-1.432187701766452e-14,1.79292401322789e-14
