rxn_id,enzyme_id,group,u_sub_29C,u_opt_39C,u_supra_43.95C
AGPAT160No1,P26647,default,2.681781236507713e-06,2.0987930452318136e-06,1.567571393472345e-06
3OAS140No1,P0A953,default,0.09727367468808974,0.08428415382308581,0.0
3OAS140No2,P0AAI5,default,0.0,0.0,0.09605132254503385
3OAR140No1,P0AEK2,default,0.00841041873178415,0.006523280372305744,0.005867197809822127
PE160abcppNo1,P60752,default,3.12361672306087e-05,2.650706413366875e-05,1.9522149385125764e-05
PE161abcppNo1,P60752,default,3.681632685747646e-05,3.124239699360269e-05,2.300966784487494e-05
PSSA160No1,P23830,default,2.374596691498738e-05,1.92840889437883e-05,1.4781835212530677e-05
AGPAT161No1,P26647,default,3.160865858944607e-06,2.4737302175708413e-06,1.847608906958175e-06
NADH17ppNo1,P0AFC3,default,1.7268078885084765e-05,2.2274010884319752e-05,0.000561415341078415
POR5No2,P52647,default,0.0,0.0003044637048913605,0.0
K2L4AabctexNo1,P0A9V1,default,6.78419746721409e-06,4.03919915014787e-06,2.618333936974666e-06
SCYSDSNo1,P77444,default,0.0001235563493009596,0.00010290229279864248,7.5017906413518e-05
S2FE2SSNo1,P77444,default,3.4277595622101363e-06,2.854764810626811e-06,2.0811827761240296e-06
ACPPAT161No1,P0A6A8,default,9.329204290725461e-06,3.730820837982965e-06,4.983794705799428e-06
APG3PAT160No1,P60782,default,0.0003794202883567734,0.00027700517946180624,0.0001974633190657159
APG3PAT161No1,P60782,default,0.0004472015164143661,0.000326490543893821,0.00023273899270079854
MECDPDH5No1,P0ABY4,default,0.0016221409829779141,0.0008426807688626109,0.0004937627090420582
RNTR1c2No4,P0ABY4,default,3.91903748659246e-06,2.0358880991591918e-06,1.1929139245744695e-06
RNTR2c2No2,P0ABY4,default,4.046496819355977e-06,2.1021015353888206e-06,1.2317112092115127e-06
RNTR3c2No3,P0ABY4,default,4.046496819355977e-06,2.1021015353888206e-06,1.2317112092115127e-06
RNTR4c2No4,P0ABY4,default,3.91903748659246e-06,2.0358880991591918e-06,1.1929139245744695e-06
FLDR2No1,P0ABY4,default,1.9682323959263697e-05,0.0,5.991093067957935e-06
S2FE2SS2No1,P77444,default,3.1161450565546694e-06,2.5952407369334643e-06,1.8919843419309361e-06
PYK4No1,P21599,default,5.883627029978255e-06,5.337078451015292e-06,0.0
ACOAD1frNo1,P0A9U8,default,0.00011539404462204266,0.00011065326458422176,8.753588952185901e-05
ACPPAT160No1,P0A6A8,default,7.915199864498025e-06,3.165349548688341e-06,4.228413265560729e-06
