reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string,strain,T_C,kcat_scale
TO1000065_PLAS__plas,TO1000065_PLAS__plas,1.0 L-Tryptophan (extr) + 1.0 H+ (extr) => 1.0 H+ (cyto) + 1.0 L-Tryptophan (cyto),False,False,False,True,carrier,1.0,0.003548797106868474,0.003548797106868474,C00078__extr + C00080__extr --> C00078__cyto + C00080__cyto,cduobushaemulonii_draft,40.0,1.0
R12185__cyto,R12185__cyto,Ammonia + HCO3- <=> Carbamate + H2O,False,True,False,False,carrier,-1.0,0.002516709674077885,-0.002516709674077885,C00014__cyto + C00080__cyto + C00288__cyto <=> C00001__cyto + C01563__cyto,cduobushaemulonii_draft,40.0,1.0
TO1000060_PLAS__plas,TO1000060_PLAS__plas,1.0 L-Methionine (extr) + 1.0 H+ (extr) => 1.0 H+ (cyto) + 1.0 L-Methionine (cyto),False,False,False,True,carrier,1.0,0.0024899520009173774,0.0024899520009173774,C00073__extr + C00080__extr --> C00073__cyto + C00080__cyto,cduobushaemulonii_draft,40.0,1.0
R12205__cyto,R12205__cyto,"Linoleoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> (9Z,12Z,15Z)-Octadecatrienoyl-CoA",True,True,False,False,redox,-2.0,0.0012095646455341032,-0.0024191292910682063,C00007__cyto + 2.0 C00080__cyto + 2.0 C00999__cyto + C02050__cyto <=> 2.0 C00001__cyto + 2.0 C00996__cyto + C16162__cyto,cduobushaemulonii_draft,40.0,1.0
R11043__cyto,R11043__cyto,Oxygen + Oleoyl-CoA + 2 H+ + 2 Ferrocytochrome b5 <=> 2 H2O + Linoleoyl-CoA + 2 Ferricytoc,True,True,False,False,redox,-2.0,0.0012095646455341032,-0.0024191292910682063,C00007__cyto + 2.0 C00080__cyto + C00510__cyto + 2.0 C00999__cyto <=> 2.0 C00001__cyto + 2.0 C00996__cyto + C02050__cyto,cduobushaemulonii_draft,40.0,1.0
R01130__cyto,R01130__cyto,IMP + NAD+ + H2O <=> Xanthosine 5'-phosphate + NADH + H+,True,True,False,False,redox,1.0,0.0009461433891185494,0.0009461433891185494,C00001__cyto + C00003__cyto + C00130__cyto <=> C00004__cyto + C00080__cyto + C00655__cyto,cduobushaemulonii_draft,40.0,1.0
T_L_Serine_c00065_MitoCyto__mito,T_L_Serine_c00065_MitoCyto__mito,L-Serine (Mito) + H+ (Mito) <=> L-Serine (Cyto) + H+ (Cyto),False,False,False,True,carrier,1.0,-0.000111000323950486,-0.000111000323950486,C00065__mito + C00080__mito <-- C00065__cyto + C00080__cyto,cduobushaemulonii_draft,40.0,1.0
R02413__cyto,R02413__cyto,Shikimate + NADP+ <=> 3-Dehydroshikimate + NADPH + H+,True,True,False,False,redox,1.0,-5.8209319666804594e-05,-5.8209319666804594e-05,C00006__cyto + C00493__cyto <=> C00005__cyto + C00080__cyto + C02637__cyto,cduobushaemulonii_draft,40.0,1.0
TO1000104_PLAS__plas,TO1000104_PLAS__plas,1.0 Biotin (extr) + 1.0 H+ (extr) => 1.0 Biotin (cyto) + 1.0 H+ (cyto),False,False,False,True,carrier,1.0,3.5368685200835535e-05,3.5368685200835535e-05,C00080__extr + C00120__extr --> C00080__cyto + C00120__cyto,cduobushaemulonii_draft,40.0,1.0
R03458__cyto,R03458__cyto,5-Amino-6-(5'-phospho-D-ribitylamino)uracil + NADP+ <=> 5-Amino-6-(5'-phosphoribosylamino),True,True,False,False,redox,1.0,-2.9977678883538454e-05,-2.9977678883538454e-05,C00006__cyto + C04454__cyto <=> C00005__cyto + C00080__cyto + C01268__cyto,cduobushaemulonii_draft,40.0,1.0
R01960__cyto,R01960__cyto,L-Kynurenine + Oxygen + NADPH + H+ => 3-Hydroxy-L-kynurenine + NADP+ + H2O,True,False,False,False,redox,-1.0,2.4715493366414776e-05,-2.4715493366414776e-05,C00005__cyto + C00007__cyto + C00080__cyto + C00328__cyto --> C00001__cyto + C00006__cyto + C03227__cyto,cduobushaemulonii_draft,40.0,1.0
R03348__cyto,R03348__cyto,Quinolinate + 5-Phospho-alpha-D-ribose 1-diphosphate => Nicotinate D-ribonucleotide + Diph,True,False,False,False,redox,-1.0,2.4715493366414776e-05,-2.4715493366414776e-05,C00080__cyto + C00119__cyto + C03722__cyto --> C00011__cyto + C00013__cyto + C01185__cyto,cduobushaemulonii_draft,40.0,1.0
